x,y,z
284.6222404401935,398.6144309092998,a
268.89996377762134,348.21293194041414,a
302.4516280436889,403.39128707701366,a
329.7676059790739,357.45521694475724,a
430.9615556874587,456.8788578367829,a
529.0968652685352,494.7724147774784,a
541.5038306537566,444.87015968815643,a
574.5366248058156,492.79726534455676,a
611.352910180409,486.8986869610574,a
613.3675715547204,483.4759253855856,a
578.7318662339719,455.27939434407534,a
505.74530079824797,367.5102518476908,a
405.4546766580534,257.29627984053303,a
368.6498850211149,254.1371556691248,a
379.35822353611115,176.99532122428957,a
301.17450782912925,169.0791023777228,a
308.8843007387334,219.60223468689657,a
322.5074462464942,141.44391549634554,a
323.10446708337093,244.4079913233032,a
321.880335941471,189.8447396259653,a
316.4981115372076,239.9180764748466,a
279.50865118331336,226.71246778755147,a
333.14297859413807,293.81581724673106,a
330.22764665636106,303.7688795914904,a
312.7620537224568,265.8683985368238,a
345.75301049641195,294.4207366633183,a
313.9330623141488,297.0382315329041,a
326.8256314506921,298.36288032997766,a
424.57919601949044,299.20771775104623,a
387.365010749719,301.7538021489959,a
391.5259093062593,302.12947398083463,a
388.5048081580345,292.0479930106108,a
401.38494227115956,355.5279020366365,a
399.25411291010846,306.5502798506756,a
396.4928162714168,313.7392732808432,a
249.23773751385846,355.2115965390405,a
212.54991313936392,318.67784728773745,a
143.03916299422318,332.885989316129,a
140.2101213039682,283.78645193688396,a
174.77782735507338,328.19943871666067,a
243.79847067872126,256.6940833168644,a
325.5109728219207,314.17076113287027,a
445.25719567324796,299.69338409502393,a
498.8301239585203,258.0979615850587,a
540.6346964058778,271.76551963090196,a
542.587975790922,314.000596672465,a
569.329156035886,365.19955382168916,a
600.7247227846807,292.3986625679714,a
514.9611510142474,375.88064933776093,a
548.4493027484928,345.47788938475037,a
447.1832395544169,355.8797152145468,a
327.22607864364534,332.59287314345346,a
303.5657841029099,289.17393626770377,a
260.1954965351253,145.7515673000603,a
290.5633276773214,163.17168943019516,a
319.8577286373135,154.4620188386903,a
299.94818531822966,143.52032932014214,a
306.91259303441177,136.48537431500762,a
329.9329814809898,123.85743368087691,a
335.705965636654,129.61563187737272,a
379.80571879519994,139.14121708610486,a
353.67930831335894,93.5565510056067,a
385.17215334552276,189.6387132502354,a
396.76141684949374,271.0634648009419,a
390.63671214516046,260.8684748624306,a
448.89089531455954,236.85622263384863,a
368.3131541974186,279.24646705062605,a
500.8652128368192,272.1215188240376,a
458.6851309520963,282.25477631056674,a
531.3317221169375,275.520209938266,a
538.3461467455568,192.8956096919215,a
561.2758411535794,223.72678556403588,a
552.213027494826,225.9657885938468,a
562.1503940032139,233.7905547014846,a
529.4396938943853,215.8581797167525,a
554.7694187560737,207.63524450800298,a
575.724064725181,264.64372693328085,a
525.6618751936984,213.0715663509353,a
527.2775508112617,258.62877716397,a
539.8743027672292,223.13111203542707,a
512.3325387021205,269.4382361676366,a
261.3094438338044,413.52354441226515,b
243.87196177500763,400.57517824650904,b
249.88463006576933,417.61971895637214,b
278.2693474328578,458.6358277050837,b
261.49800769392635,499.26020357531934,b
232.2546233362585,482.8915043160714,b
198.37669237918035,454.9337553445266,b
157.78625577827654,470.77770388750446,b
169.33245357329903,403.1797500864109,b
139.71577491135537,429.02183673262516,b
169.54047598375908,406.6048683071802,b
106.75500919180655,444.41395252435245,b
110.90586383706216,421.34955055939804,b
100.06833915199806,387.55965917970644,b
162.30265504970097,409.83274934799243,b
246.3736892738199,326.3024069443784,b
303.6150031290406,325.0451800702211,b
398.0844434763156,327.9749328242983,b
474.2791166053542,287.35951647364,b
519.0299243311615,336.95288788889184,b
557.2498097629062,324.19830863491177,b
540.9528179136332,296.14632471268675,b
541.251357938312,359.62479497250956,b
598.3951643721279,289.12283277588097,b
560.977118515937,348.06807550622005,b
568.1817021110735,320.6243511200746,b
586.1977094289589,304.54681229380617,b
581.119149550791,338.9296517345551,b
597.7863527851101,336.60714608401,b
507.0458551529083,248.48776236083447,b
436.378399661906,211.57579207812245,b
451.1185257134718,102.84363252644181,b
456.86139798946846,149.89815423651214,b
421.27408326464945,151.86484936888831,b
403.5331406975276,121.07950486037743,b
366.91314093268187,151.208568636508,b
353.7197554948877,163.3234097020018,b
355.4978510859411,158.75853695701272,b
339.4926704958204,176.69562033052858,b
333.9313720761106,186.71486232136516,b
330.43997063383836,225.19545210300498,b
294.0531924820863,204.4732579770876,b
342.9720660319727,265.04771461766336,b
409.4780940820613,327.0710983359088,b
467.93870916079413,289.14278902723646,b
507.06011108282513,339.93386124322683,b
544.5090934815917,311.52628736995325,b
571.9303400126213,272.5198033341305,b
586.0968302388362,300.4037715449003,b
575.1879107520099,293.41064649427403,b
600.7416993298298,319.9708926618637,b
627.187907279518,273.46988176622403,b
555.21138746778,280.2985569912456,b
649.2349584674981,224.76669524690618,b
646.7007732627436,251.51061400761157,b
599.9924901660331,246.73020487315188,b
560.2613559896973,278.907155274057,b
607.4571433489684,236.66466768735705,b
528.5452419466169,286.8179410374813,b
592.0946527946859,185.26255783580746,b
579.9125824761571,228.56277389182247,b
530.1631181971397,195.88733392896688,b
474.02278716552837,161.8545238106792,b
509.16069155852153,211.9668906338261,b
499.84615170619213,164.14665206501473,b
421.0494036144046,194.45633198253887,b
458.2918198104957,142.37824001287038,b
501.35734671303226,130.00841392113688,b
599.9142888887569,213.05647810262877,b
600.7144144863671,182.81248181908478,b
622.0388573072593,203.1739038013784,b
568.4047378732878,178.80054280603497,b
574.2328004779582,229.93073982057984,b
607.7604728879186,206.81366973518635,b
600.6455511931832,160.1778089761072,b
602.0178293069049,254.49188950527548,b
636.6017534092044,241.52936733453612,b
666.4973941448582,268.78980303335084,b
693.2827655953597,311.7378495143133,b
667.5766316971815,338.0511917560285,b
606.998450862491,371.46029658407895,b
574.2930331145448,397.1199043010594,b
605.4200475826542,411.62181453156205,b
556.865156138711,418.48071714876914,b
498.5433604967832,456.93906215059855,b
515.9928685518397,426.6220932848084,b
445.67167077258773,421.2433590317537,b
350.0013920926195,422.40680855152334,b
351.66574274807755,378.8184665528204,b
314.02854841190896,417.69845311469265,b
305.56828682118237,343.2944927419703,b
303.0363604598433,373.2811967519403,b
347.44370547560203,367.57806486083825,b
291.3353388858846,330.8434408175998,b
326.5198741533419,387.99183562595044,b
302.6510759805439,337.535317679235,b
356.67744667887115,347.29909476133173,b
335.90230579726074,305.08687008504535,b
334.5321903134415,335.38757413934053,b
400.339366461624,280.6851276948391,b
426.6367765452506,286.16879384398084,b
496.38989453289827,314.26816346294737,b
522.2503992150854,270.00651043682296,b
525.1833672431177,272.41287427499526,b
552.2838974125805,345.57903617081706,b
550.3182221840922,324.3277804889816,b
594.4454172082651,333.00911615584204,b
643.238576399425,346.604469439112,b
631.7437217862426,369.6942867637567,b
494.40606049602957,204.43493697046648,b
392.21486142842923,162.15469431018636,b
402.0623136834402,110.28410545480091,b
331.637935791702,94.93573032286992,b
297.9767881779708,117.3141946851917,b
269.44424984165715,140.98927181529075,b
244.70063455501398,117.30164314923331,b
265.31740287917825,150.1363570748121,b
252.82609124035673,166.96575990427937,b
268.2269964368467,143.79013131454207,b
219.62914700113768,159.61621731272135,b
274.1389191448372,166.00830322064382,b
260.556341261737,190.27132404917984,b
231.94550454031807,187.7665510935218,b
305.870782233053,437.2207912335949,c
244.77296103386394,468.2764325635091,c
213.52319229138416,442.43319151289046,c
180.03213699223315,441.9155704427407,c
165.49460258160502,437.220955888803,c
135.54000150123872,418.39971820601284,c
131.68920140994473,409.376356893732,c
114.8205723070086,382.05644343468134,c
150.09136405751738,417.61524778970755,c
133.97893801185404,412.20202384732994,c
226.57672111519162,413.1567688912427,c
278.28756741894347,389.0750313690506,c
324.53842368596844,341.6433803364147,c
354.89494465112864,375.20086704148423,c
389.0582044938949,345.5225506821711,c
452.76577045485914,372.5499748766663,c
520.045707069081,387.0688942829174,c
598.0480829436174,379.5026156140514,c
605.7898705880876,380.6452795998449,c
562.1633622310155,355.4869073619535,c
582.8275596369219,386.77422326235944,c
616.7295266664637,347.67616534609283,c
552.7069747204273,323.03465365691915,c
592.9870796859761,370.83975685989424,c
485.05667455480005,364.8811310565722,c
484.8643957092059,280.63728780611785,c
506.128495339384,380.91286302531483,c
481.649021809412,409.42357086898994,c
500.18840796972495,358.23312169542703,c
480.0630169531171,318.35291418152156,c
473.92162841466194,359.67346271921747,c
486.55617469073684,368.0029320918747,c
517.2306672420009,452.71534727145325,c
496.00298526719945,417.3994041676949,c
420.8940490805825,322.07688630902163,c
269.71121710418305,270.61462536311035,c
222.17676097328754,248.31093505926881,c
175.88935149804988,257.8903845553849,c
189.95074693707843,267.8181275231036,c
128.2922393018925,264.04822407809957,c
108.14078634654234,274.25797009610244,c
163.38287468333507,290.32970327607876,c
78.57487793843481,215.87793653841533,c
120.00871300405534,286.14908746993603,c
47.09487361039653,273.7971075402204,c
156.9048129716421,273.3371906733021,c
163.96415194295267,289.2240848940379,c
115.81529289913058,253.3751070493738,c
162.46386739821494,255.1982394177551,c
128.92935730948955,209.2966779818866,c
168.46436853427505,226.9647895217621,c
173.7236573109213,157.0820078740581,c
152.55801475216327,175.91284975833554,c
195.03423162265534,117.98867168830685,c
173.62992334056477,131.7982287308182,c
